innvandring,kjonn,alder,tillit,utdanning,venstre_hoyre
NA,Male,16,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",NA
5,Male,30,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
6,Female,47,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
8,Male,60,3,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",2
0,Male,17,No trust at all,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
7,Male,46,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",Right
3,Female,48,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
7,Female,59,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
3,Male,86,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",Right
6,Female,52,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
2,Male,22,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",NA
5,Female,32,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",NA
7,Female,38,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
8,Male,79,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",2
6,Male,18,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
2,Male,72,2,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",8
5,Male,25,1,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
5,Male,58,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
8,Male,15,Complete trust,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Male,21,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
5,Male,17,4,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
8,Male,53,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Female,38,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
8,Female,81,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
10,Female,66,9,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",8
5,Male,49,6,Forkurs til universitet/høgskole som ikke gir studiepoeng,Right
3,Female,45,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
4,Male,32,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
10,Male,32,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",7
5,Male,48,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
6,Female,76,8,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
9,Female,20,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
5,Female,55,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
2,Female,72,1,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
7,Female,63,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
3,Male,49,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
10,Male,NA,Complete trust,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
4,Female,72,7,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",Right
7,Male,64,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
9,Male,40,1,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
5,Female,55,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
8,Female,23,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
5,Female,50,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
6,Female,52,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
6,Female,81,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",6
9,Female,47,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
5,Male,69,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
10,Female,24,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
8,Male,42,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
5,Male,27,8,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
0,Male,29,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Male,71,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Female,70,4,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
4,Female,76,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
5,Female,61,2,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",3
NA,Male,36,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
7,Female,50,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
5,Male,36,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Female,37,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
8,Female,62,9,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
7,Male,32,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
7,Male,38,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
5,Male,37,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
5,Male,42,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
8,Male,57,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
4,Female,48,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
2,Male,74,No trust at all,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
8,Male,65,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
4,Female,36,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
7,Female,26,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
5,Male,74,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
6,Female,59,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
5,Male,33,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
4,Male,36,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
9,Female,21,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
8,Male,18,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",7
7,Female,41,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",5
10,Male,41,Complete trust,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Female,43,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
8,Female,26,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
7,Male,18,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
5,Female,78,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
6,Male,82,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
4,Female,57,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
5,Female,NA,4,NA,5
5,Male,27,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
10,Male,24,8,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",8
9,Female,42,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",3
5,Male,50,9,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
7,Female,21,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
5,Female,47,4,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",4
5,Female,76,5,Other,5
9,Female,60,9,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
6,Male,56,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Male,41,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
6,Male,57,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
7,Male,48,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
6,Male,46,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
4,Male,79,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
8,Male,60,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",2
7,Male,79,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",1
5,Female,73,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",9
4,Female,68,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
5,Female,75,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
7,Female,53,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",4
5,Male,16,9,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
5,Male,53,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",9
